COV,Covidien plc,Health Care,1385187
CCI,Crown Castle International Corp.,Financials,1051470
CSX,CSX Corp.,Industrials,277948
CMI,Cummins Inc.,Industrials,26172
CVS,CVS Caremark Corp.,Consumer Staples,64803
DHI,D. R. Horton,Consumer Discretionary,882184
DHR,Danaher Corp.,Industrials,313616
DRI,Darden Restaurants,Consumer Discretionary,940944
DVA,DaVita Inc.,Health Care,927066
DE,Deere & Co.,Industrials,315189
DLPH,Delphi Automotive,Consumer Discretionary,1521332
DAL,Delta Air Lines,Industrials,27904
DNR,Denbury Resources Inc.,Energy,945764
XRAY,Dentsply International,Health Care,818479
DVN,Devon Energy Corp.,Energy,1090012
DO,Diamond Offshore Drilling,Energy,949039
DTV,DirecTV,Consumer Discretionary,1465112
DFS,Discover Financial Services,Financials,1393612
DISCA,Discovery Communications,Consumer Discretionary,1437107
DG,Dollar General,Consumer Discretionary,29534
DLTR,Dollar Tree,Consumer Discretionary,935703
D,Dominion Resources,Utilities,715957
DOV,Dover Corp.,Industrials,29905
DOW,Dow Chemical,Materials,29915
DPS,Dr Pepper Snapple Group,Consumer Staples,1418135
DTE,DTE Energy Co.,Utilities,936340
DD,Du Pont (E.I.),Materials,30554
DUK,Duke Energy,Utilities,1326160
DNB,Dun & Bradstreet,Industrials,1115222
ETFC,E-Trade,Financials,1015780
EMN,Eastman Chemical,Materials,915389
ETN,Eaton Corporation,Industrials,1551182
EBAY,eBay Inc.,Information Technology,1065088
ECL,Ecolab Inc.,Materials,31462
EIX,Edison Int'l,Utilities,827052
EW,Edwards Lifesciences,Health Care,1099800
EA,Electronic Arts,Information Technology,712515
EMC,EMC Corp.,Information Technology,790070
EMR,Emerson Electric,Industrials,32604
ESV,Ensco plc,Energy,314808
ETR,Entergy Corp.,Utilities,65984
EOG,EOG Resources,Energy,821189
EQT,EQT Corporation,Energy,33213
EFX,Equifax Inc.,Financials,33185
EQR,Equity Residential,Financials,906107
ESS,Essex Property Trust Inc,Financials,920522
EL,Estee Lauder Cos.,Consumer Staples,1001250
EXC,Exelon Corp.,Utilities,1109357
EXPE,Expedia Inc.,Consumer Discretionary,1324424
EXPD,Expeditors Int'l,Industrials,746515
ESRX,Express Scripts,Health Care,1532063
XOM,Exxon Mobil Corp.,Energy,34088
FFIV,F5 Networks,Information Technology,1048695
FB,Facebook,Information Technology,1326801
FDO,Family Dollar Stores,Consumer Discretionary,34408
FAST,Fastenal Co,Industrials,815556
FDX,FedEx Corporation,Industrials,1048911
FIS,Fidelity National Information Services,Information Technology,1136893
FITB,Fifth Third Bancorp,Financials,35527
FSLR,First Solar Inc,Energy,1274494
FE,FirstEnergy Corp,Utilities,1031296
FISV,Fiserv Inc,Information Technology,798354
FLIR,FLIR Systems,Industrials,354908
FLS,Flowserve Corporation,Industrials,30625
FLR,Fluor Corp.,Industrials,1124198
FMC,FMC Corporation,Materials,37785
FTI,FMC Technologies Inc.,Energy,1135152
F,Ford Motor,Consumer Discretionary,37996
FRX,Forest Laboratories,Health Care,38074
FOSL,"Fossil, Inc.",Consumer Discretionary,883569
BEN,Franklin Resources,Financials,38777
FCX,Freeport-McMoran Cp & Gld,Materials,831259
FTR,Frontier Communications,Telecommunications Services,20520
GME,GameStop Corp.,Consumer Discretionary,1326380
GCI,Gannett Co.,Consumer Discretionary,39899
GPS,Gap (The),Consumer Discretionary,39911
GRMN,Garmin Ltd.,Consumer Discretionary,1121788
GD,General Dynamics,Industrials,40533
GE,General Electric,Energy,40545
GGP,General Growth Properties Inc.,Financials,895648
GIS,General Mills,Consumer Staples,40704
GM,General Motors,Consumer Discretionary,1467858
GPC,Genuine Parts,Consumer Discretionary,40987
GNW,Genworth Financial Inc.,Financials,1276520
GILD,Gilead Sciences,Health Care,882095
GS,Goldman Sachs Group,Financials,886982
GT,Goodyear Tire & Rubber,Consumer Discretionary,42582
GOOG,Google Inc.,Information Technology,1288776
GOOGL,Google Inc.,Information Technology,1288776
GWW,Grainger (W.W.) Inc.,Industrials,277135
HAL,Halliburton Co.,Energy,45012
HOG,Harley-Davidson,Consumer Discretionary,793952
HAR,Harman Int'l Industries,Consumer Discretionary,800459
HRS,Harris Corporation,Information Technology,202058
HIG,Hartford Financial Svc.Gp.,Financials,874766
HAS,Hasbro Inc.,Consumer Discretionary,46080
HCP,HCP Inc.,Financials,765880
HCN,"Health Care REIT, Inc.",Financials,766704
HP,Helmerich & Payne,Energy,46765
HES,Hess Corporation,Energy,4447
HPQ,Hewlett-Packard,Information Technology,47217
HD,Home Depot,Consumer Discretionary,354950
HON,Honeywell Int'l Inc.,Industrials,773840
HRL,Hormel Foods Corp.,Consumer Staples,48465
HSP,Hospira Inc.,Health Care,1274057
HST,Host Hotels & Resorts,Financials,1070750
HCBK,Hudson City Bancorp,Financials,921847
HUM,Humana Inc.,Health Care,49071
HBAN,Huntington Bancshares,Financials,49196
ITW,Illinois Tool Works,Industrials,49826
IR,Ingersoll-Rand PLC,Industrials,1466258
TEG,Integrys Energy Group Inc.,Utilities,916863
INTC,Intel Corp.,Information Technology,50863
ICE,IntercontinentalExchange Inc.,Financials,1571949
IBM,International Bus. Machines,Information Technology,51143
IP,International Paper,Materials,51434
IPG,Interpublic Group,Consumer Discretionary,51644
IFF,Intl Flavors & Fragrances,Materials,51253
INTU,Intuit Inc.,Information Technology,896878
ISRG,Intuitive Surgical Inc.,Health Care,1035267
IVZ,Invesco Ltd.,Financials,914208
IRM,Iron Mountain Incorporated,Industrials,1020569
JBL,Jabil Circuit,Information Technology,898293
JEC,Jacobs Engineering Group,Industrials,52988
JNJ,Johnson & Johnson,Health Care,200406
JCI,Johnson Controls,Consumer Discretionary,53669
JOY,Joy Global Inc.,Industrials,801898
JPM,JPMorgan Chase & Co.,Financials,19617
JNPR,Juniper Networks,Information Technology,1043604
KSU,Kansas City Southern,Industrials,54480
K,Kellogg Co.,Consumer Staples,55067
KEY,KeyCorp,Financials,91576
GMCR,Keurig Green Mountain,Consumer Staples,909954
KMB,Kimberly-Clark,Consumer Staples,55785
KIM,Kimco Realty,Financials,879101
KMI,Kinder Morgan,Energy,1506307
KLAC,KLA-Tencor Corp.,Information Technology,319201
KSS,Kohl's Corp.,Consumer Discretionary,885639
KRFT,Kraft Foods Group,Consumer Staples,1545158
KR,Kroger Co.,Consumer Staples,56873
LB,L Brands Inc.,Consumer Discretionary,701985
LLL,L-3 Communications Holdings,Industrials,1056239
LH,Laboratory Corp. of America Holding,Health Care,920148
LRCX,Lam Research,Information Technology,707549
LM,Legg Mason,Financials,704051
LEG,Leggett & Platt,Industrials,58492
LEN,Lennar Corp.,Consumer Discretionary,920760
LUK,Leucadia National Corp.,Financials,96223
LLY,Lilly (Eli) & Co.,Health Care,59478
LNC,Lincoln National,Financials,59558
LLTC,Linear Technology Corp.,Information Technology,791907
LMT,Lockheed Martin Corp.,Industrials,936468
L,Loews Corp.,Financials,60086
LO,Lorillard Inc.,Consumer Staples,1424847
LOW,Lowe's Cos.,Consumer Discretionary,60667
LYB,LyondellBasell,Materials,1489393
MTB,M&T Bank Corp.,Financials,36270
MAC,Macerich,Financials,912242
M,Macy's Inc.,Consumer Discretionary,794367
MMM,3M Company,Industrials,66740
MRO,Marathon Oil Corp.,Energy,101778
MPC,Marathon Petroleum,Energy,1510295
MAR,Marriott Int'l.,Consumer Discretionary,1048286
MMC,Marsh & McLennan,Financials,62709
MAS,Masco Corp.,Industrials,62996
MA,Mastercard Inc.,Information Technology,1141391
MAT,Mattel Inc.,Consumer Discretionary,63276
MKC,McCormick & Co.,Consumer Staples,63754
MCD,McDonald's Corp.,Consumer Discretionary,63908
MHFI,McGraw Hill Financial,Financials,64040
MCK,McKesson Corp.,Health Care,927653
MJN,Mead Johnson,Consumer Staples,1452575
MWV,MeadWestvaco Corporation,Materials,1159297
MDT,Medtronic Inc.,Health Care,64670
MRK,Merck & Co.,Health Care,310158
MET,MetLife Inc.,Financials,1099219
MCHP,Microchip Technology,Information Technology,827054
MU,Micron Technology,Information Technology,723125
MSFT,Microsoft Corp.,Information Technology,789019
MHK,Mohawk Industries,Consumer Discretionary,851968
TAP,Molson Coors Brewing Company,Consumer Staples,24545
MDLZ,Mondelez International,Consumer Staples,1103982
MON,Monsanto Co.,Materials,1110783
MNST,Monster Beverage,Consumer Staples,865752
MCO,Moody's Corp,Financials,1059556
MS,Morgan Stanley,Financials,895421
MOS,The Mosaic Company,Materials,1285785
MSI,Motorola Solutions Inc.,Information Technology,68505
MUR,Murphy Oil,Energy,717423
MYL,Mylan Inc.,Health Care,69499
NBR,Nabors Industries Ltd.,Energy,1163739
NDAQ,NASDAQ OMX Group,Financials,1120193
NOV,National Oilwell Varco Inc.,Energy,1021860
NAVI,Navient Corp,Financials,1084750
NTAP,NetApp,Information Technology,1002047
NFLX,Netflix Inc.,Information Technology,1065280
NWL,Newell Rubbermaid Co.,Consumer Discretionary,814453
NFX,Newfield Exploration Co,Energy,912750
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,1164727
NWSA,News Corporation,Consumer Discretionary,1564708
NEE,NextEra Energy,Utilities,753308
NLSN,Nielsen Holdings,Industrials,1492633
NKE,NIKE Inc.,Consumer Discretionary,320187
NI,NiSource Inc.,Utilities,1111711
NE,Noble Corp,Energy,1458891
NBL,Noble Energy Inc,Energy,72207
JWN,Nordstrom,Consumer Discretionary,72333
NSC,Norfolk Southern Corp.,Industrials,702165
NTRS,Northern Trust Corp.,Financials,73124
NOC,Northrop Grumman Corp.,Industrials,1133421
NU,Northeast Utilities,Utilities,72741
NRG,NRG Energy,Utilities,1013871
NUE,Nucor Corp.,Materials,73309
NVDA,Nvidia Corporation,Information Technology,1045810
KORS,Michael Kors,Consumer Discretionary,1530721
ORLY,O'Reilly Automotive,Consumer Discretionary,898173
OXY,Occidental Petroleum,Energy,797468
OMC,Omnicom Group,Consumer Discretionary,29989
OKE,ONEOK,Energy,1039684
ORCL,Oracle Corp.,Information Technology,1341439
OI,Owens-Illinois Inc,Materials,812074
PCG,P G & E Corp.,Utilities,1004980
PCAR,PACCAR Inc.,Industrials,75362
PLL,Pall Corp.,Industrials,75829
PH,Parker-Hannifin,Industrials,76334
PDCO,Patterson Companies,Health Care,891024
PAYX,Paychex Inc.,Information Technology,723531
BTU,Peabody Energy,Energy,1064728
PNR,Pentair Ltd.,Industrials,77360
PBCT,People's United Bank,Financials,1378946
POM,Pepco Holdings Inc.,Utilities,1135971
PEP,PepsiCo Inc.,Consumer Staples,77476
PKI,PerkinElmer,Health Care,31791
PRGO,Perrigo,Health Care,1585364
PETM,"PetSmart, Inc.",Consumer Discretionary,863157
PFE,Pfizer Inc.,Health Care,78003
PM,Philip Morris International,Consumer Staples,1413329
PSX,Phillips 66,Energy,1534701
PNW,Pinnacle West Capital,Utilities,764622
PXD,Pioneer Natural Resources,Energy,1038357
PBI,Pitney-Bowes,Industrials,78814
PCL,Plum Creek Timber Co.,Financials,849213
PNC,PNC Financial Services,Financials,713676
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,1037038
PPG,PPG Industries,Materials,79879
PPL,PPL Corp.,Utilities,922224
PX,Praxair Inc.,Materials,884905
PCP,Precision Castparts,Industrials,79958
